SpeciesAuthor,SpeciesAccepted,CommonName,CoLCheckOK,CoLCheckDate,Infraspecific,SpeciesEpithetAccepted,GenusAccepted,GenusAuthor,Family,Order,Class,Phylum,Kingdom,OrganismType,Authors,Journal,YearPublication,DOI.ISBN,AdditionalSource,StudyDuration,StudyStart,StudyEnd,AnnualPeriodicity,NumberPopulations,MatrixCriteriaSize,MatrixCriteriaOntogeny,MatrixCriteriaAge,MatrixPopulation,Lat,Lon,Altitude,Country,Continent,Ecoregion,StudiedSex,MatrixComposite,MatrixTreatment,MatrixCaptivity,MatrixStartYear,MatrixStartSeason,MatrixStartMonth,MatrixEndYear,MatrixEndSeason,MatrixEndMonth,MatrixSplit,MatrixFec,Observation,MatrixDimension,SurvivalIssue,PPMS
Ambystoma_mexicanum,Ambystoma_mexicanum,Axolotl,TRUE,8082016,NA,mexicanum,Ambystoma,Ambystoma,Ambystomatidae,Caudata,Amphibia,Chordata,Animalia,Amphibia,Zambrano; Vega; Herrera; Prado; Reynoso,Anim Conserv,2007,10.1111/j.1469-1795.2007.00105.x,NA,2,2002,2003,15,1,Yes,No,Yes,Xochimilco,19.25,-98.85,2240,MEX,N America,XBE,NA,Mean,NA,W,2002,NA,NA,2003,NA,NA,Divided,Yes,NA,4,0.7972,[0 0 760.52 1000;0.0015 0 0 0;0 0.7972 0 0;0 0 0.0526 0]
Assa_darlingtoni,Assa_darlingtoni,Pouched frog,TRUE,8082016,NA,darlingtoni,Assa,Assa,Myobatrachidae,Anura,Amphibia,Chordata,Animalia,Amphibia,Keith; Mahony; Hines; Elith; Regan; Baumgartner; Hunter; Heard; Mitchell; Parris; Penman; Scheele; Simpson; Tingley; Tracy; West; Akcakaya,Conserv Biol,2014,10.1111/cobi.12234,Ehmann & Swan 1985,1,2014,2014,1,1,No,Yes,No,NA,NA,NA,NA,AUS,Oceania,TBM,F,Mean,NA,W,NA,NA,NA,NA,NA,NA,Divided,Yes,NA,3,0.6,[0 0 5;0.6 0 0;0 0.2 0.4]
Bufo_boreas,Anaxyrus_boreas,Western toad,TRUE,8082016,NA,boreas,Anaxyrus,Bufo,Bufonidae,Anura,Amphibia,Chordata,Animalia,Amphibia,Biek; Funk; Maxell; Mills,Conserv Biol,2002,10.1046/j.1523-1739.2002.00433.x,NA,NA,NA,NA,1,1,No,Yes,No,FRANK,NA,NA,NA,NA,NA,NA,F,Pooled,FRANK,W,NA,NA,NA,NA,NA,NA,Divided,Yes,FRANK,3,0.78,[0 24.724 1377.48;0.029328 0.26 0;0 0.014 0.78]
Cryptobranchus_alleganiensis_subsp._alleganiensis,Cryptobranchus_alleganiensis_subsp._alleganiensis,Eastern hellbender,TRUE,8082016,alleganiensis,alleganiensis,Cryptobranchus,Cryptobranchus,Cryptobranchidae,Caudata,Amphibia,Chordata,Animalia,Amphibia,Unger; Sutton; Williams,J Nat Cons,2013,10.1016/j.jnc.2013.06.002,NA,NA,NA,NA,NA,NA,No,Yes,No,FRANK,NA,NA,NA,USA,N America,TBM,NA,Mean,NA,W,NA,NA,NA,NA,NA,NA,Divided,Yes,FRANK,3,0.8,[0 0 90;0.1 0.711 0;0 0.038 0.8]
Epidalea_calamita,Epidalea_calamita,Natterjack toad,TRUE,8082016,NA,calamita,Epidalea,Epidalea,Bufonidae,Anura,Amphibia,Chordata,Animalia,Amphibia,Di Minin; Griffiths,Ecography,2011,10.1111/j.1600-0587.2010.06263.x,NA,37,1972,2008,1,1,No,No,Yes,Woolmer Forest,51.08583333,0.865833333,97,GBR,Europe,TBM,M/F,Mean,Unmanipulated,W,1972,NA,NA,2008,NA,NA,Divided,Yes,NA,14,0.85,[0 0 11.5 11.5 11.5 11.5 9 0 0 0 0 0 0 0;0.15 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0.15 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0.85 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0.85 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0.85 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0.85 0.85 0 0 0 0 0 0 0;0 0 11.5 11.5 11.5 11.5 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0.15 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0.15 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0.47 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0.47 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0.47 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0.47 0]
Geocrinia_alba,Geocrinia_alba,White-bellied frog,TRUE,8082016,NA,alba,Geocrinia,Geocrinia,Myobatrachidae,Anura,Amphibia,Chordata,Animalia,Amphibia,Conroy; Brook,Pop Ecol,2003,10.1007/s10144-003-0145-9,Naujokaitis-Lewis Cons Biol 2009,NA,NA,NA,1,3,No,Yes,No,NA,NA,NA,NA,AUS,Oceania,MED,A,Mean,Unmanipulated,W,NA,NA,NA,NA,NA,NA,Divided,Yes,FRANK; Mean matrix calculated instead of using the given one,2,0.507,[0 1.32;0.507 0.358]
Geocrinia_alba,Geocrinia_alba,White-bellied frog,TRUE,8082016,NA,alba,Geocrinia,Geocrinia,Myobatrachidae,Anura,Amphibia,Chordata,Animalia,Amphibia,Conroy; Brook,Pop Ecol,2003,10.1007/s10144-003-0145-9,Naujokaitis-Lewis Cons Biol 2009,NA,NA,NA,1,3,No,Yes,No,Boathaugh B,NA,NA,NA,AUS,Oceania,MED,A,Pooled,Unmanipulated,W,NA,NA,NA,NA,NA,NA,Divided,Yes,FRANK,2,0.507,[0 1.703;0.507 0.39]
Geocrinia_alba,Geocrinia_alba,White-bellied frog,TRUE,8082016,NA,alba,Geocrinia,Geocrinia,Myobatrachidae,Anura,Amphibia,Chordata,Animalia,Amphibia,Conroy; Brook,Pop Ecol,2003,10.1007/s10144-003-0145-9,Naujokaitis-Lewis Cons Biol 2009,NA,NA,NA,1,3,No,Yes,No,Bruce Road,NA,NA,NA,AUS,Oceania,MED,A,Pooled,Unmanipulated,W,NA,NA,NA,NA,NA,NA,Divided,Yes,FRANK,2,0.528,[0 0.624;0.528 0.39]
Geocrinia_alba,Geocrinia_alba,White-bellied frog,TRUE,8082016,NA,alba,Geocrinia,Geocrinia,Myobatrachidae,Anura,Amphibia,Chordata,Animalia,Amphibia,Conroy; Brook,Pop Ecol,2003,10.1007/s10144-003-0145-9,Naujokaitis-Lewis Cons Biol 2009,NA,NA,NA,1,3,No,Yes,No,Forest Grove South,NA,NA,NA,AUS,Oceania,MED,A,Pooled,Unmanipulated,W,NA,NA,NA,NA,NA,NA,Divided,Yes,FRANK,2,0.486,[0 1.633;0.486 0.293]
Geocrinia_vitellina,Geocrinia_vitellina,Orange-bellied frog,TRUE,8082016,NA,vitellina,Geocrinia,Geocrinia,Myobatrachidae,Anura,Amphibia,Chordata,Animalia,Amphibia,Conroy; Brook,Pop Ecol,2003,10.1007/s10144-003-0145-9,Naujokaitis-Lewis Cons Biol 2010,NA,NA,NA,1,2,No,Yes,No,NA,NA,NA,NA,AUS,Oceania,MED,A,Mean,Unmanipulated,W,NA,NA,NA,NA,NA,NA,Divided,Yes,FRANK,2,0.444,[0 1.763;0.444 0.325]
Geocrinia_vitellina,Geocrinia_vitellina,Orange-bellied frog,TRUE,8082016,NA,vitellina,Geocrinia,Geocrinia,Myobatrachidae,Anura,Amphibia,Chordata,Animalia,Amphibia,Conroy; Brook,Pop Ecol,2003,10.1007/s10144-003-0145-9,Naujokaitis-Lewis Cons Biol 2010,NA,NA,NA,1,2,No,Yes,No,Spearwood North,NA,NA,NA,AUS,Oceania,MED,A,Pooled,Unmanipulated,W,NA,NA,NA,NA,NA,NA,Divided,Yes,FRANK,2,0.445,[0 1.713;0.445 0.334]
Geocrinia_vitellina,Geocrinia_vitellina,Orange-bellied frog,TRUE,8082016,NA,vitellina,Geocrinia,Geocrinia,Myobatrachidae,Anura,Amphibia,Chordata,Animalia,Amphibia,Conroy; Brook,Pop Ecol,2003,10.1007/s10144-003-0145-9,Naujokaitis-Lewis Cons Biol 2010,NA,NA,NA,1,2,No,Yes,No,Spearwood South,NA,NA,NA,AUS,Oceania,MED,A,Pooled,Unmanipulated,W,NA,NA,NA,NA,NA,NA,Divided,Yes,FRANK,2,0.442,[0 1.813;0.442 0.315]
Rana_aurora,Rana_aurora,Red-legged frog,TRUE,8082016,NA,aurora,Rana,Rana,Ranidae,Anura,Amphibia,Chordata,Animalia,Amphibia,Biek; Funk; Maxell; Mills,Conserv Biol,2002,10.1046/j.1523-1739.2002.00433.x,NA,NA,NA,NA,1,1,No,Yes,No,FRANK,NA,NA,NA,NA,NA,NA,F,Pooled,FRANK,W,NA,NA,NA,NA,NA,NA,Divided,Yes,FRANK,3,0.69,[0 27.27 209.07;0.01518 0.26 0;0 0.09 0.69]
Rana_catesbeiana,Rana_catesbeiana,American bullfrog,TRUE,8082016,NA,catesbeiana,Rana,Rana,Ranidae,Anura,Amphibia,Chordata,Animalia,Amphibia,Govindarajulu; Altwegg; Anholt,Ecol Appl,2005,10.1890/05-0486,NA,4,1999,2002,1,4,Yes,No,No,Beaver Pond; Copley Pond; Trevlac Pond; Prior Lake,48.65,-122.5833333,NA,CAN,N America,SLE,NA,Mean,NA,W,1999,NA,NA,2002,NA,NA,Divided,Yes,NA,5,0.318,[0 0 0 0 2080;0.07 0 0 0 0;0 0.078 0 0 0;0 0.016 0.02 0 0;0 0 0 0.129 0.318]
Rana_temporaria,Rana_temporaria,Common frog,TRUE,8082016,NA,temporaria,Rana,Rana,Ranidae,Anura,Amphibia,Chordata,Animalia,Amphibia,Biek; Funk; Maxell; Mills,Conserv Biol,2002,10.1046/j.1523-1739.2002.00433.x,NA,NA,NA,NA,1,1,No,Yes,No,FRANK,NA,NA,NA,NA,NA,NA,F,Pooled,FRANK,W,NA,NA,NA,NA,NA,NA,Divided,Yes,FRANK,3,0.43,[0 52 279.5;0.018768 0.25 0;0 0.08 0.43]
