SpeciesAuthor,SpeciesAccepted,CommonName,CoLCheckOK,CoLCheckDate,Infraspecific,SpeciesEpithetAccepted,GenusAccepted,GenusAuthor,Family,Order,Class,Phylum,Kingdom,OrganismType,Authors,Journal,YearPublication,DOI.ISBN,AdditionalSource,StudyDuration,StudyStart,StudyEnd,AnnualPeriodicity,NumberPopulations,MatrixCriteriaSize,MatrixCriteriaOntogeny,MatrixCriteriaAge,MatrixPopulation,Lat,Lon,Altitude,Country,Continent,Ecoregion,StudiedSex,MatrixComposite,MatrixTreatment,MatrixCaptivity,MatrixStartYear,MatrixStartSeason,MatrixStartMonth,MatrixEndYear,MatrixEndSeason,MatrixEndMonth,MatrixSplit,MatrixFec,Observation,MatrixDimension,SurvivalIssue,PPMS
Acipenser_fulvescens,Acipenser_fulvescens,Lake sturgeon,TRUE,8082016,NA,fulvescens,Acipenser,Acipenser,Acipenseridae,Acipenseriformes,Actinopterygii,Chordata,Animalia,Actinopterygii,Velez-Espino; Koops,N Am J Fish Manag,2009,10.1577/M08-034.1,NA,NA,NA,NA,1,8,No,Yes,Yes,"Western Hudson Bay; Saskatchewan River; Nelson river main stem; Red River -Assiniboine River; Winnipeg River - English River, Lake of the Woods -Rainy River, Southern Hudson Bay - James River; Lake Erie, Lake Huron; Northern Lake Superior; St. Lawrence River",NA,NA,NA,CAN,N America,NA,F,Mean,Unmanipulated,W,NA,NA,NA,NA,NA,NA,Divided,Yes,FRANK,5,0.904135,[0 0 931.6771 13339.6486 16937.647;0.0272379 0.2583353 0 0 0;0 0.0234851 0.6490406 0 0;0 0 0.064904 0.8349386 0;0 0 0 0.0691964 0.8332716]
Acipenser_fulvescens,Acipenser_fulvescens,Lake sturgeon,TRUE,8082016,NA,fulvescens,Acipenser,Acipenser,Acipenseridae,Acipenseriformes,Actinopterygii,Chordata,Animalia,Actinopterygii,Velez-Espino; Koops,N Am J Fish Manag,2009,10.1577/M08-034.1,NA,NA,NA,NA,1,8,No,Yes,Yes,Western Hudson Bay,NA,NA,NA,CAN,N America,NA,F,Individual,Unmanipulated,W,NA,NA,NA,NA,NA,NA,Divided,Yes,FRANK,5,0.91585,[0 0 537.7776 7684.603 10629.76;0.00187 0.262353 0 0 0;0 0.02385 0.659134 0 0;0 0 0.065913 0.864969 0;0 0 0 0.050881 0.861976]
Acipenser_fulvescens,Acipenser_fulvescens,Lake sturgeon,TRUE,8082016,NA,fulvescens,Acipenser,Acipenser,Acipenseridae,Acipenseriformes,Actinopterygii,Chordata,Animalia,Actinopterygii,Velez-Espino; Koops,N Am J Fish Manag,2009,10.1577/M08-034.1,NA,NA,NA,NA,1,8,No,Yes,Yes,Saskatchewan River,NA,NA,NA,CAN,N America,NA,F,Individual,Unmanipulated,W,NA,NA,NA,NA,NA,NA,Divided,Yes,FRANK,5,0.8614,[0 0 999.4647 14267.05 13471.52;0.00213 0.246755 0 0 0;0 0.022432 0.619947 0 0;0 0 0.061995 0.717833 0;0 0 0 0.143567 0.717833]
Acipenser_fulvescens,Acipenser_fulvescens,Lake sturgeon,TRUE,8082016,NA,fulvescens,Acipenser,Acipenser,Acipenseridae,Acipenseriformes,Actinopterygii,Chordata,Animalia,Actinopterygii,Velez-Espino; Koops,N Am J Fish Manag,2009,10.1577/M08-034.1,NA,NA,NA,NA,1,8,No,Yes,Yes,Nelson river main stem,NA,NA,NA,CAN,N America,NA,F,Individual,Unmanipulated,W,NA,NA,NA,NA,NA,NA,Divided,Yes,FRANK,5,0.9307,[0 0 455.6216 6514.193 10266.9;0.00183 0.266607 0 0 0;0 0.024237 0.669822 0 0;0 0 0.066982 0.891921 0;0 0 0 0.038779 0.890235]
Acipenser_fulvescens,Acipenser_fulvescens,Lake sturgeon,TRUE,8082016,NA,fulvescens,Acipenser,Acipenser,Acipenseridae,Acipenseriformes,Actinopterygii,Chordata,Animalia,Actinopterygii,Velez-Espino; Koops,N Am J Fish Manag,2009,10.1577/M08-034.1,NA,NA,NA,NA,1,8,No,Yes,Yes,Red River -Assiniboine River - Lake Winnipeg,NA,NA,NA,CAN,N America,NA,F,Individual,Unmanipulated,W,NA,NA,NA,NA,NA,NA,Divided,Yes,FRANK,5,0.8977,[0 0 857.1265 12263.83 14798.75;0.00142 0.257154 0 0 0;0 0.023378 0.646072 0 0;0 0 0.064607 0.822892 0;0 0 0 0.074808 0.822892]
Acipenser_fulvescens,Acipenser_fulvescens,Lake sturgeon,TRUE,8082016,NA,fulvescens,Acipenser,Acipenser,Acipenseridae,Acipenseriformes,Actinopterygii,Chordata,Animalia,Actinopterygii,Velez-Espino; Koops,N Am J Fish Manag,2009,10.1577/M08-034.1,NA,NA,NA,NA,1,8,No,Yes,Yes,Winnipeg River - English River,NA,NA,NA,CAN,N America,NA,F,Individual,Unmanipulated,W,NA,NA,NA,NA,NA,NA,Divided,Yes,FRANK,5,0.89275,[0 0 1024.181 14545.35 17093.26;0.00126 0.255736 0 0 0;0 0.023249 0.642509 0 0;0 0 0.064251 0.811591 0;0 0 0 0.081159 0.811591]
Acipenser_fulvescens,Acipenser_fulvescens,Lake sturgeon,TRUE,8082016,NA,fulvescens,Acipenser,Acipenser,Acipenseridae,Acipenseriformes,Actinopterygii,Chordata,Animalia,Actinopterygii,Velez-Espino; Koops,N Am J Fish Manag,2009,10.1577/M08-034.1,NA,NA,NA,NA,1,8,No,Yes,Yes,Lake of the Woods - Rainy River,NA,NA,NA,CAN,N America,NA,F,Individual,Unmanipulated,W,NA,NA,NA,NA,NA,NA,Divided,Yes,FRANK,5,0.88945,[0 0 1194.206 17005.12 19012.09;0.00173 0.25479 0 0 0;0 0.023163 0.640134 0 0;0 0 0.064013 0.808591 0;0 0 0 0.080859 0.801]
Acipenser_fulvescens,Acipenser_fulvescens,Lake sturgeon,TRUE,8082016,NA,fulvescens,Acipenser,Acipenser,Acipenseridae,Acipenseriformes,Actinopterygii,Chordata,Animalia,Actinopterygii,Velez-Espino; Koops,N Am J Fish Manag,2009,10.1577/M08-034.1,NA,NA,NA,NA,1,8,No,Yes,Yes,Southern Hudson Bay - James Bay,NA,NA,NA,CAN,N America,NA,F,Individual,Unmanipulated,W,NA,NA,NA,NA,NA,NA,Divided,Yes,FRANK,5,0.9241,[0 0 752.8293 10746.79 15651.55;0.00188 0.264716 0 0 0;0 0.024065 0.665072 0 0;0 0 0.066507 0.880095 0;0 0 0 0.044005 0.877895]
Acipenser_fulvescens,Acipenser_fulvescens,Lake sturgeon,TRUE,8082016,NA,fulvescens,Acipenser,Acipenser,Acipenseridae,Acipenseriformes,Actinopterygii,Chordata,Animalia,Actinopterygii,Velez-Espino; Koops,N Am J Fish Manag,2009,10.1577/M08-034.1,NA,NA,NA,NA,1,8,No,Yes,Yes,Lake Erie-Lake Huron,NA,NA,NA,CAN,N America,NA,F,Individual,Unmanipulated,W,NA,NA,NA,NA,NA,NA,Divided,Yes,FRANK,5,0.9241,[0 0 1163.077 17028.83 24800.67;9e-04 0.258099 0 0 0;0 0.023464 0.648447 0 0;0 0 0.064845 0.880095 0;0 0 0 0.044005 0.877895]
Acipenser_fulvescens,Acipenser_fulvescens,Lake sturgeon,TRUE,8082016,NA,fulvescens,Acipenser,Acipenser,Acipenseridae,Acipenseriformes,Actinopterygii,Chordata,Animalia,Actinopterygii,Velez-Espino; Koops,N Am J Fish Manag,2009,10.1577/M08-034.1,NA,NA,NA,NA,1,8,No,Yes,Yes,Northern Lake Superior,NA,NA,NA,CAN,N America,NA,F,Individual,Unmanipulated,W,NA,NA,NA,NA,NA,NA,Divided,Yes,FRANK,5,0.9043,[0 0 752.8293 10746.79 15651.55;0.00126 0.259044 0 0 0;0 0.023549 0.650822 0 0;0 0 0.065082 0.839707 0;0 0 0 0.064593 0.839707]
